Well	Column	Row_num	Plate	Compound	Concentration	Solvent
A1	1	8	1	Acarbose	25	DMSO
B1	1	7	1	Acarbose	25	DMSO
C1	1	6	1	Acarbose	25	DMSO
D1	1	5	1	Acarbose	25	DMSO
E1	1	4	1	Acarbose	50	DMSO
F1	1	3	1	Acarbose	50	DMSO
G1	1	2	1	Acarbose	50	DMSO
H1	1	1	1	Acarbose	50	DMSO
A2	2	8	1	Acesulfame_K	25	DMSO
B2	2	7	1	Acesulfame_K	25	DMSO
C2	2	6	1	Acesulfame_K	25	DMSO
D2	2	5	1	Acesulfame_K	25	DMSO
E2	2	4	1	Acesulfame_K	50	DMSO
F2	2	3	1	Acesulfame_K	50	DMSO
G2	2	2	1	Acesulfame_K	50	DMSO
H2	2	1	1	Acesulfame_K	50	DMSO
A3	3	8	1	Acetaminophen	25	DMSO
B3	3	7	1	Acetaminophen	25	DMSO
C3	3	6	1	Acetaminophen	25	DMSO
D3	3	5	1	Acetaminophen	25	DMSO
E3	3	4	1	Acetaminophen	50	DMSO
F3	3	3	1	Acetaminophen	50	DMSO
G3	3	2	1	Acetaminophen	50	DMSO
H3	3	1	1	Acetaminophen	50	DMSO
A4	4	8	1	Aripiprazole	25	DMSO
B4	4	7	1	Aripiprazole	25	DMSO
C4	4	6	1	Aripiprazole	25	DMSO
D4	4	5	1	Aripiprazole	25	DMSO
E4	4	4	1	Aripiprazole	50	DMSO
F4	4	3	1	Aripiprazole	50	DMSO
G4	4	2	1	Aripiprazole	50	DMSO
H4	4	1	1	Aripiprazole	50	DMSO
A5	5	8	1	Aspartame	25	DMSO
B5	5	7	1	Aspartame	25	DMSO
C5	5	6	1	Aspartame	25	DMSO
D5	5	5	1	Aspartame	25	DMSO
E5	5	4	1	Aspartame	50	DMSO
F5	5	3	1	Aspartame	50	DMSO
G5	5	2	1	Aspartame	50	DMSO
H5	5	1	1	Aspartame	50	DMSO
A6	6	8	1	Aspirin	25	DMSO
B6	6	7	1	Aspirin	25	DMSO
C6	6	6	1	Aspirin	25	DMSO
D6	6	5	1	Aspirin	25	DMSO
E6	6	4	1	Aspirin	50	DMSO
F6	6	3	1	Aspirin	50	DMSO
G6	6	2	1	Aspirin	50	DMSO
H6	6	1	1	Aspirin	50	DMSO
A7	7	8	1	Caffeine	25	DMSO
B7	7	7	1	Caffeine	25	DMSO
C7	7	6	1	Caffeine	25	DMSO
D7	7	5	1	Caffeine	25	DMSO
E7	7	4	1	Caffeine	50	DMSO
F7	7	3	1	Caffeine	50	DMSO
G7	7	2	1	Caffeine	50	DMSO
H7	7	1	1	Caffeine	50	DMSO
A8	8	8	1	Chlorpyrifos	25	DMSO
B8	8	7	1	Chlorpyrifos	25	DMSO
C8	8	6	1	Chlorpyrifos	25	DMSO
D8	8	5	1	Chlorpyrifos	25	DMSO
E8	8	4	1	Chlorpyrifos	50	DMSO
F8	8	3	1	Chlorpyrifos	50	DMSO
G8	8	2	1	Chlorpyrifos	50	DMSO
H8	8	1	1	Chlorpyrifos	50	DMSO
A9	9	8	1	Cumic_alcohol	25	DMSO
B9	9	7	1	Cumic_alcohol	25	DMSO
C9	9	6	1	Cumic_alcohol	25	DMSO
D9	9	5	1	Cumic_alcohol	25	DMSO
E9	9	4	1	Cumic_alcohol	50	DMSO
F9	9	3	1	Cumic_alcohol	50	DMSO
G9	9	2	1	Cumic_alcohol	50	DMSO
H9	9	1	1	Cumic_alcohol	50	DMSO
A10	10	8	1	Cypermethrin	25	DMSO
B10	10	7	1	Cypermethrin	25	DMSO
C10	10	6	1	Cypermethrin	25	DMSO
D10	10	5	1	Cypermethrin	25	DMSO
